xgrid 	 psiboa+_real 	 psiboa+_imag 	              psiexact+_real 	 psiexact+_imag 	              pgrid 	 psihatboa+_real 	 psiboa+_imag 	              psihatexact+_real 	 psihatexact+_imag 
-3.000000000000000000e+01	-2.623982348681849383e-15	-6.470046415120742403e-15	1.640473050119647652e-14	-4.293692818411154192e-14	-8.578118740626929650e+01	-1.746607139266584547e-16	1.134909925257921302e-17	-1.973512181281889707e-13	1.194158635310952442e-13
-2.999633766709393967e+01	-1.847861593419894768e-15	-6.925755807291079180e-15	1.009455921488629122e-13	2.566885366745402944e-14	-8.577071606991599140e+01	2.119092222751948990e-16	-2.479064659951236349e-17	-2.241827420950769770e-14	1.918390886373993399e-13
-2.999267533418787934e+01	1.048386990885215198e-16	-7.424572305613117926e-15	-5.812583932226695785e-14	-7.480801328125446862e-14	-8.576024473356268629e+01	4.098478761720558406e-16	-1.727019675540534806e-16	4.816985285725926001e-14	2.572536999024544887e-13
-2.998901300128181546e+01	1.624191971422040812e-16	-6.844737541146672946e-15	2.027439211825594499e-14	4.462326064573977398e-14	-8.574977339720938119e+01	2.065709460353521302e-16	-3.679501968541012700e-17	-5.421366150272007798e-14	3.461106361681503852e-14
-2.998535066837575513e+01	1.797290789622155268e-15	-6.961350014836040982e-15	6.431239703675792061e-15	2.242405529989750431e-15	-8.573930206085607608e+01	-1.192029072258589418e-16	1.603253674753727041e-16	1.487373549627035230e-13	-8.059960742854229378e-14
-2.998168833546969481e+01	2.655275273510712742e-15	-6.489139885348112869e-15	4.345665265995132900e-14	-2.808025285365021931e-14	-8.572883072450277098e+01	2.170764743888739067e-16	2.349171126057806331e-16	-1.610304523078532998e-13	4.641731126680330750e-14
-2.997802600256363448e+01	3.011064965799704150e-15	-6.206594674464803324e-15	-1.012070195744466358e-14	-7.441112648405118030e-14	-8.571835938814946587e+01	-1.566481631554560231e-17	-1.286051878372753225e-16	2.231802883352383822e-13	4.941333730532741404e-14
-2.997436366965757060e+01	4.037625339193142168e-15	-5.879572238908337792e-15	2.222966803308535031e-14	1.908789939757803621e-14	-8.570788805179616077e+01	-1.863152915774169387e-16	5.368641872256883583e-16	-4.483192208676760399e-14	-1.612660697694461151e-13
-2.997070133675151027e+01	5.450906267002416853e-15	-5.530314089070405304e-15	-5.017725228925055196e-14	-5.425147504391265095e-15	-8.569741671544285566e+01	-1.763974396822040408e-16	-4.525409848865811397e-17	5.376513174554076033e-14	-4.623273932873413192e-15
-2.996703900384544994e+01	4.694171010356392495e-15	-4.364187029555152032e-15	8.254127399025533884e-15	1.215328540886047223e-15	-8.568694537908955056e+01	-6.507078777471766367e-17	3.775184961644222920e-16	-1.122156531826702536e-13	-1.867130805271143779e-13
-2.996337667093938961e+01	5.024080308996470445e-15	-3.148161648570501565e-15	-1.012390381261028133e-13	-3.502845029731933212e-14	-8.567647404273625966e+01	2.255799724397545219e-17	-7.313928234109328636e-17	-1.254768107391576374e-13	1.103286030616596789e-13
-2.995971433803332573e+01	5.626091511721298835e-15	-2.508555031397670215e-15	-4.204352288686129753e-14	3.430371239024786503e-14	-8.566600270638295456e+01	1.159320459883236643e-16	1.844191936783259167e-16	-4.726544647312988251e-14	-1.185471759572978145e-14
-2.995605200512726540e+01	6.308733644529536369e-15	-1.532104293116145927e-15	-7.172077584693442361e-14	-7.638972611447188565e-14	-8.565553137002964945e+01	2.148171805436131196e-16	6.324036929638251728e-17	-4.743361479892707224e-14	1.970029435642044772e-13
-2.995238967222120507e+01	5.971365607824102952e-15	9.995672141145762813e-17	-3.191959914621916874e-14	2.595172649920157257e-14	-8.564506003367634435e+01	-8.130729576343378860e-17	2.299425012696200440e-16	1.495021064600976387e-13	4.690200661683797815e-15
-2.994872733931514475e+01	4.660384372853407133e-15	3.971541758410414334e-16	-4.564304712370935861e-14	3.230964591525410302e-14	-8.563458869732303924e+01	1.518054043977187599e-16	1.084672845947591318e-16	2.830497942203312134e-14	3.829988312629644209e-14
-2.994506500640908087e+01	5.154519290370681123e-15	9.279186045551072529e-16	2.295318547726987564e-14	-3.514430529350707540e-14	-8.562411736096973414e+01	6.191946315444481860e-18	-1.210753688401404070e-16	1.426241296467536183e-13	-1.193165698549407121e-13
-2.994140267350302054e+01	3.681113672643115248e-15	1.669081958848021824e-15	-8.024425323232625623e-14	-2.565032853818297634e-14	-8.561364602461642903e+01	-1.906621556303169050e-16	5.133553545837203773e-17	-1.049322584275090671e-13	-8.171128517836512544e-14
-2.993774034059696021e+01	3.157440858368312343e-15	2.345013933994667279e-15	-5.384110306767189419e-14	1.919827264859104056e-14	-8.560317468826312393e+01	9.115228823865903660e-17	-1.259073205903487158e-16	-5.074053020641612851e-15	-5.784557903745411403e-14
-2.993407800769089988e+01	1.306972404090803073e-15	3.007368783630679087e-15	-7.184156426031139715e-14	-1.567341993685101616e-14	-8.559270335190981882e+01	-1.567236218175432906e-16	-6.018032168223953525e-17	-1.742854918441993515e-13	1.984325213148687063e-14
-2.993041567478483955e+01	1.461802381131265167e-15	3.356247536892220643e-15	3.525163828935179117e-14	8.186300794367758331e-16	-8.558223201555651372e+01	8.810152974332214265e-18	-2.041248807222467152e-16	2.992156685361781764e-14	1.084178236307127855e-13
-2.992675334187877567e+01	7.038176156040355298e-17	2.789679184726552955e-15	-3.678093919839179996e-14	-1.008965338432125102e-14	-8.557176067920320861e+01	2.372931800590073140e-16	-1.206214480937352101e-16	-2.833845776108170086e-14	6.027531131014866855e-14
-2.992309100897271534e+01	-5.275957032550324975e-16	2.626713539499380777e-15	1.504640018534268756e-14	4.147317589571985994e-14	-8.556128934284990351e+01	1.819335264778836964e-17	1.178888949851605734e-17	1.422960768901921046e-13	6.689013280133387625e-14
-2.991942867606665502e+01	-1.615875638239005030e-15	2.833509057540438133e-15	1.359985801002893427e-14	3.265436473671034738e-14	-8.555081800649659840e+01	-1.040665079824364118e-16	-2.128233710890503212e-16	3.228519901383817935e-14	-8.764314464186479899e-14
-2.991576634316059469e+01	-2.140354976149044591e-15	2.072796218777135403e-15	2.794058727573565814e-14	2.712421570061861879e-14	-8.554034667014329330e+01	4.582484133774462415e-18	2.539584304241771407e-16	5.204406199360724073e-14	-4.453607086720733237e-14
-2.991210401025453081e+01	-3.339030486347955084e-15	1.290010550063059501e-15	-3.921108983604629575e-14	4.316721057358894743e-14	-8.552987533378998819e+01	-1.086653504708211890e-16	1.781244383010872698e-17	-8.521360038053454082e-14	-1.122326296555123802e-13
-2.990844167734847048e+01	-4.231334042192725791e-15	7.635346946383685565e-16	1.101357081982612569e-13	-2.078757004803288645e-14	-8.551940399743668308e+01	-2.460951707958698134e-16	-1.744768668586613341e-16	-6.989507978595753733e-14	4.510667884799229195e-14
-2.990477934444241015e+01	-4.153687000162414235e-15	-4.022450042603075038e-16	-3.655951206358461586e-14	-1.375126455379855389e-14	-8.550893266108337798e+01	-4.423773213658350938e-17	1.387810663104681006e-17	-6.677545955507924726e-14	2.460534190872007598e-14
-2.990111701153634982e+01	-4.138265709152440818e-15	-1.557820797028206938e-15	2.456327371819342865e-14	2.309413928452870406e-14	-8.549846132473007287e+01	-3.896268435721137112e-17	-8.238492376597674620e-17	1.867159284482601242e-14	1.234705190691515638e-13
-2.989745467863028594e+01	-4.852736243503428241e-15	-1.982808196016248777e-15	2.224238585455500561e-14	4.182938117773957695e-14	-8.548798998837676777e+01	2.143993667432753736e-16	1.996090169374023812e-16	7.784994150441781548e-14	6.394147383995337177e-15
-2.989379234572422561e+01	-4.462784123169970850e-15	-3.771274717116053295e-15	8.349937555998184002e-14	4.321714522441506896e-14	-8.547751865202347688e+01	3.160540263897897447e-17	-1.163615447803636205e-16	6.985430615202419461e-14	-3.349512129957216011e-15
