pgrid 	 psihatexact+_real 	 psihatexact+_imag 	              psihatguess+_real 	 psihatguess+_imag 
-8.578118740626929650e+01	1.038731118074869975e-16	-4.321634404790495675e-16	-6.982283506949218252e-12	-7.003102115231579519e-13
-8.577071606991599140e+01	-9.350843475067160770e-14	-9.688691862959176334e-15	6.201953918160995789e-13	2.081598175617682272e-12
-8.576024473356268629e+01	-3.206224036028889196e-14	-9.916524577655232704e-14	2.356723987477144550e-13	2.591534624286713077e-14
-8.574977339720938119e+01	-8.003732969173200892e-14	-1.494682700291501982e-14	7.378374776185817402e-14	8.154207670567026327e-14
-8.573930206085607608e+01	6.219169643723874887e-14	-8.339884407178501373e-14	-4.093930401132456936e-15	1.199871349838376852e-13
-8.572883072450277098e+01	1.027762942454899701e-13	2.710930735587821045e-14	-1.031519005141802635e-13	5.702856846108289141e-14
-8.571835938814946587e+01	3.456967851927461949e-14	8.709110372747137856e-14	-8.101506592896442284e-14	-1.046759762051267759e-13
-8.570788805179616077e+01	-5.631884081057598101e-14	5.516968471629361582e-14	5.426212243162888281e-14	-1.216878377952500615e-13
-8.569741671544285566e+01	-4.806890637249653356e-14	-3.425213513417229613e-14	1.392274786784893597e-13	1.815890964393015151e-14
-8.568694537908955056e+01	2.154312658346285413e-14	-5.004561526383858705e-14	3.396796862914791730e-14	1.354666265725396863e-13
-8.567647404273625966e+01	6.122165590373879531e-14	4.083872472212436913e-16	-1.224001366158322191e-13	6.149276164743074141e-14
-8.566600270638295456e+01	1.897038901315250391e-14	5.789899893375576056e-14	-9.582844076249810501e-14	-9.309460435662406200e-14
-8.565553137002964945e+01	-3.971293430773321669e-14	3.139535480901168900e-14	6.809956824379863371e-14	-1.228691238817759700e-13
-8.564506003367634435e+01	-4.048717315799291437e-14	-2.690642610765603588e-14	1.381235583162809428e-13	2.555813998251783024e-14
-8.563458869732303924e+01	2.044801982940361380e-14	-4.411199772226225204e-14	1.153906680399125728e-14	1.353359248387956325e-13
-8.562411736096973414e+01	4.890316819986451408e-14	8.210006935947025963e-15	-1.256924518490832402e-13	5.516930350328630214e-14
-8.561364602461642903e+01	1.433227584398956089e-14	4.945744221942913099e-14	-8.782375187101119952e-14	-1.102355275234268019e-13
-8.560317468826312393e+01	-4.123487417850555141e-14	2.805616792490097633e-14	7.496663236927247489e-14	-1.189708137093492500e-13
-8.559270335190981882e+01	-3.517767434691914983e-14	-3.117356023132204174e-14	1.359306962626966473e-13	3.406923932618002303e-14
-8.558223201555651372e+01	1.938304697480184429e-14	-4.102401697493800986e-14	9.383687481365021736e-15	1.397516086437436925e-13
-8.557176067920320861e+01	4.891812494147805525e-14	4.465629450975841500e-15	-1.317617809182020279e-13	4.853376140565042188e-14
-8.556128934284990351e+01	9.808106208266965511e-15	4.792205952528545724e-14	-8.894859904829062715e-14	-1.053944906389782472e-13
-8.555081800649659840e+01	-3.898225954925068330e-14	2.255622527993974854e-14	6.997085997030584966e-14	-1.191901612150609362e-13
-8.554034667014329330e+01	-3.741280182540193538e-14	-3.016188465486141616e-14	1.390812765124692589e-13	3.163273867618398870e-14
-8.552987533378998819e+01	1.927787669987411495e-14	-4.489748644526836144e-14	1.252656707648715119e-14	1.379332160571196390e-13
-8.551940399743668308e+01	4.502722493794090533e-14	4.472088956296187462e-15	-1.236576966915224226e-13	6.268884090335316321e-14
-8.550893266108337798e+01	1.300048248889772281e-14	4.509669889525506745e-14	-9.863450049222756096e-14	-1.011128144057905884e-13
-8.549846132473007287e+01	-3.791702271592849686e-14	2.729511142399127098e-14	5.969762660803768989e-14	-1.224777960551153937e-13
-8.548798998837676777e+01	-3.904693785296591722e-14	-2.863101452806569940e-14	1.383022488164553360e-13	1.332874793267542636e-14
-8.547751865202347688e+01	1.228065968809184360e-14	-4.379877626413934526e-14	3.711671593325669560e-14	1.364742656432657895e-13
-8.546704731567017177e+01	4.703148740890177765e-14	-3.760229567484969483e-15	-1.140689097844515650e-13	8.190758574995768134e-14
-8.545657597931686666e+01	1.912858946891208467e-14	4.407854460677061972e-14	-1.157407113282468897e-13	-7.454452914260296862e-14
-8.544610464296356156e+01	-3.260572357409831323e-14	3.382930113708104019e-14	3.064889353858937263e-14	-1.348278459732823172e-13
-8.543563330661025645e+01	-4.303651937084007292e-14	-1.965869572088894183e-14	1.364223057688578878e-13	-1.822912709307349299e-14
-8.542516197025695135e+01	2.916626696608028296e-15	-4.856020816806606864e-14	6.781751649871430566e-14	1.213682179551679589e-13
-8.541469063390364624e+01	4.498335206155500931e-14	-1.411752262574300542e-14	-8.381143059248123368e-14	1.103167694880688967e-13
-8.540421929755034114e+01	2.976443395908879075e-14	3.553523935333655314e-14	-1.330698053069268062e-13	-3.942874576407511104e-14
-8.539374796119703603e+01	-2.288827366449757607e-14	4.181386034094054598e-14	-1.228597369958712564e-14	-1.359333520356357473e-13
-8.538327662484373093e+01	-4.657708466427346766e-14	-5.628988336496011883e-15	1.214079155257838841e-13	-6.686454364427994372e-14
-8.537280528849042582e+01	-1.366674457301262120e-14	-4.634332777572061737e-14	1.099423774943527033e-13	8.725211250438359480e-14
-8.536233395213712072e+01	3.770758009026217600e-14	-3.127208143897681551e-14	-4.123637016269095594e-14	1.331777502827727907e-13
-8.535186261578381561e+01	4.167068761192620420e-14	2.541365071472706257e-14	-1.356564420265359898e-13	1.890655859381013305e-14
-8.534139127943051051e+01	-5.604311417896815068e-15	4.677794494168249329e-14	-7.115414358430807069e-14	-1.219004030580461777e-13
-8.533091994307720540e+01	-4.513732967688648454e-14	1.529931001461708110e-14	8.093253919277418479e-14	-1.127227692828925240e-13
-8.532044860672390030e+01	-3.165759973996091743e-14	-3.642514030306656426e-14	1.343231876321567183e-13	2.811482113095711642e-14
-8.530997727037059519e+01	2.110268677489994674e-14	-4.265264367358099200e-14	3.364160724519662130e-14	1.363551320039762927e-13
-8.529950593401729009e+01	4.795579440235143481e-14	3.410451903407752975e-15	-1.111117530530491912e-13	8.252299790487767653e-14
-8.528903459766398498e+01	1.826086018395130552e-14	4.538512247118190822e-14	-1.220789357997746931e-13	-6.428863378862241345e-14
-8.527856326131069409e+01	-3.256621522552595501e-14	3.394425947501900127e-14	4.661169367766852400e-15	-1.384110818482591919e-13
-8.526809192495738898e+01	-4.738951615331563373e-14	-1.487028050601078624e-14	1.297309447028051422e-13	-5.155063385175818454e-14
-8.525762058860408388e+01	-6.323815388152591415e-15	-4.942673003563264435e-14	9.879683798150405861e-14	9.197217830289938631e-14
-8.524714925225077877e+01	3.965374178480299402e-14	-2.667811477213280208e-14	-3.876242312427233448e-14	1.331042242474607235e-13
-8.523667791589747367e+01	4.214481114619296120e-14	2.421020225138986092e-14	-1.372284364161222754e-13	2.290871169226177185e-14
-8.522620657954416856e+01	-5.539648187203841823e-15	4.983422376091443252e-14	-8.008033196392967097e-14	-1.123359681181159645e-13
-8.521573524319086346e+01	-4.662723929577127095e-14	1.623588658380380944e-14	6.297976058469391403e-14	-1.197112137074377414e-13
-8.520526390683755835e+01	-3.424399226703899808e-14	-3.317210484452419173e-14	1.392496378830292846e-13	3.707648992483258786e-15
-8.519479257048425325e+01	1.647181124382858524e-14	-4.635767958713901018e-14	5.709061628145604381e-14	1.238782239977820916e-13
-8.518432123413094814e+01	4.707369750122981064e-14	-7.067891939035637464e-15	-8.019877710351787559e-14	1.100029524682261658e-13
-8.517384989777764304e+01	3.056998612484497413e-14	3.933262686827587516e-14	-1.395307433946766893e-13	-2.442343461229288113e-14
-8.516337856142433793e+01	-2.407226671260528491e-14	4.549056178480093829e-14	-3.940539614465953475e-14	-1.304578133286123064e-13
-8.515290722507103283e+01	-4.911411325233258070e-14	1.971353799861441297e-16	9.297323727646101039e-14	-1.023817898714750526e-13
-8.514243588871772772e+01	-2.455766028045226649e-14	-4.274788317298600435e-14	1.340288910414167014e-13	3.734923792441679891e-14
-8.513196455236442262e+01	2.788981627276137125e-14	-4.181918797987915578e-14	2.993742501489170550e-14	1.323671292255596687e-13
-8.512149321601111751e+01	5.015953739639270853e-14	5.300681644370953322e-15	-1.031165441728825757e-13	9.248990095067015884e-14
-8.511102187965781241e+01	2.056845052034670661e-14	4.474307394256005481e-14	-1.312299598714640586e-13	-4.849856979069895162e-14
